"","Séquentiel","SID","Heure de soumission","Heure de complétion","Heure de modification","Brouillon","Adresse IP","UID","Nom d'utilisateur","Êtes vous ...","Quel âge avez-vous ?","Vous êtes ...","Veuillez préciser votre niveau d'étude","Par votre milieu professionnel","Par votre milieu scolaire, étudiant","Par vos proches","Par hasard et au gré de vos navigations sur Internet","Par Wikipédia","Autre...19","Veuillez préciser...20","Dans le cadre scolaire à la maison (devoirs, révisions etc.)","Dans le cadre scolaire en classe (en cours, club etc.)","Pour ma culture générale","Pour le travail","Pour mon simple loisir","Autre...26","Veuillez préciser...27","Quel est votre degré de contribution ?","Qu'est ce qui vous a motivé à contribuer pour la première fois ?","Je me plais au sein de la communauté","J'ai des responsabilités","Les domaines abordés m'intéressent","J'aime contribuer au projet Vikidia","Autre...34","Veuillez préciser...35","De la patrouille","Des ajouts sur la partie technique","Des corrections orthographiques ou typographiques","Des travaux de catégorisation et d'ajout de portail","Des créations ou améliorations d'articles","De l'aide aux nouveaux utilisateurs","Autre...42","Veuillez préciser...43","Patrouilleur","Administrateur","Bureaucrate","Vérificateur d'IP","Nuker","Plus maintenant","Trouvez-vous les articles de Vikidia accessibles ?","Les articles y sont plus faciles à comprendre","Vikidia est plus adaptée à mon niveau/âge","Je préfère l'ambiance au sein de la communauté vikidienne","La communauté vikidienne est de plus petite taille","Je consulte peu Vikidia, je suis surtout contributeur","Je préfère Wikipédia","Autre...57","Veuillez préciser...58","Lorsque vous ne trouvez pas des informations sur Vikidia, où allez-vous en priorité ?","Quel est votre niveau de confiance en ce qui concerne la fiabilité des articles de Vikidia ?","Que pensez-vous des pages d'aide ?","Veuillez préciser...62","La qualité des articles","L'accessibilité des sujets traités","La qualité et la pertinence des illustrations","La diversité des sujets traités","La qualité synthaxique et typographique","Le projet Vikidia en général","Non","Il m'arrive de parler de mes découvertes sur l'encyclopédie","Je recommande le site à mes proches","Autre...72","Veuillez préciser...73","Selon vous, comment Vikidia est-elle perçue par le grand public ?","Veuillez préciser...75","Pensez vous que les Wikipédiens vous infantilisent à cause de votre contribution à Vikidia ?","Vikidia a-t-elle des répercutions positives ou négatives sur votre vie ?","Avez-vous déjà fait un don à Vikidia ?","Pourquoi ?...79","Pourquoi ?...80","En quelle année avez-vous rejoint la communauté Vikidienne ?","Comment avez-vous jugé votre accueil sur Vikidia ?","Veuillez préciser...83","Vous sentez-vous suffisamment intégré à la communauté vikidienne ?","Veuillez préciser...85","Comment évaluez vous votre participation aux canaux de discussion ?","Discord","Les Bavardages","IRC","Les pages de discussion","Autres canaux de discussion","Veuillez préciser...92","Avez-vous des points d'amélioration à suggérer pour le projet Vikidia ? (Réponse optionnelle)","Avez-vous des points d'amélioration sur le fonctionnement de l'association Vikidia ? (Réponse optionnelle)","is_contrib","activite","annee","motivations_contrib","alternatives"
"594",609,9595439,"20/09/2021 - 21:37","20/09/2021 - 21:37","20/09/2021 - 21:37",0,"0.0.0.0",0,"Anonymous","féminin","Entre 14 et 18 ans","Étudiant, élève","Lycée",NA,"X",NA,NA,"X",NA,NA,"X","X","X",NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles","X",NA,NA,NA,NA,NA,NA,NA,"Wikipedia","Les articles de Vikidia sont plutôt fiables","Il existe des pages d'aide ??",NA,"Très bonne","Plutôt bonne","Très bonne","Plutôt bonne","Très bonne","Plutôt bonne",NA,"X",NA,NA,NA,"Tout le monde connaît Vikidia !",NA,"Non","Pas de répercutions","Non",NA,"-18 ans","Non","Excellent",NA,"Oui",NA,"Quels canaux de discussion ??",NA,NA,NA,"X",NA,NA,"Non","Non","0","Élève au lycée",NA,NA,"wikipedia"
"595",610,9596039,"20/09/2021 - 22:47","20/09/2021 - 22:47","20/09/2021 - 22:47",0,"0.0.0.0",0,"Anonymous","féminin","Entre 8 et 13 ans","Étudiant, élève","École primaire (du CP au CM2)",NA,NA,NA,NA,"X",NA,NA,"X",NA,NA,NA,NA,NA,NA,"Consulte Vikidia pour la première fois","l ecole",NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X","Moyennement accessibles",NA,NA,NA,NA,NA,"X",NA,NA,"google","Les informations trouvées sur Vikidia ne sont pas toujours fiables","Je n'en ai jamais eu besoin",NA,"Moyenne","Plutôt mauvaise","Très mauvaise","Plutôt bonne","Moyenne","Très bonne","X",NA,NA,NA,NA,"Personne ne connaît Vikidia en dehors de la communauté",NA,"Non","ce n est pas de bonne information","Non",NA,"jsp","2021","Moyen",NA,"Oui",NA,"Quels canaux de discussion ??",NA,NA,NA,"X",NA,NA,NA,NA,"0","Élève en école primaire","2021",NA,"google"
"596",611,9596073,"20/09/2021 - 22:53","20/09/2021 - 22:53","20/09/2021 - 22:53",0,"0.0.0.0",0,"Anonymous","féminin","Entre 19 et 25 ans","Étudiant, élève","Études supérieures",NA,NA,NA,"X","X",NA,NA,NA,NA,"X","X",NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles",NA,NA,NA,NA,NA,NA,"X","Car j'ai besoin d'une multitude d'informations sur des sites différents les uns des autres.","Sur universalis ou cairn","Les articles de Vikidia sont plutôt fiables","Je n'en ai jamais eu besoin",NA,"Plutôt bonne","Très bonne","Moyenne","Très bonne","Plutôt bonne","Très bonne","X",NA,NA,NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","Sans opinion, ce site ne m'aide qu'à obtenir des informations..","Non",NA,"...",NA,"Bon",NA,"Oui",NA,"Quels canaux de discussion ??",NA,NA,NA,NA,"X","aucun canal.",NA,NA,"0","Étudiant",NA,NA,"sur universalis ou cairn"
"597",612,9596656,"21/09/2021 - 06:14","21/09/2021 - 06:14","21/09/2021 - 06:14",0,"0.0.0.0",0,"Anonymous","masculin","Entre 14 et 18 ans","Étudiant, élève","Lycée",NA,"X",NA,"X","X",NA,NA,"X",NA,NA,NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas","La recherche",NA,NA,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X","Plutôt accessibles",NA,NA,NA,NA,NA,"X",NA,NA,"Wikipedia","Les articles de Vikidia sont plutôt fiables","Il existe des pages d'aide ??",NA,"Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","X",NA,NA,NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","Positivé","Non",NA,"Je n’est pas envie","2021","Bon",NA,"Oui",NA,"Quels canaux de discussion ??","X",NA,NA,NA,NA,NA,"Non","Non","0","Élève au lycée","2021",NA,"wikipedia"
"598",615,9604231,"21/09/2021 - 16:10","21/09/2021 - 16:10","21/09/2021 - 16:10",0,"0.0.0.0",0,"Anonymous","préfère ne pas le dire","Entre 8 et 13 ans","Étudiant, élève","Collège",NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,"Consulte Vikidia pour la première fois","Nul",NA,NA,NA,NA,"X","Rien",NA,NA,NA,NA,NA,NA,"X","Rien",NA,NA,NA,NA,NA,"X","Plutôt accessibles","X","X",NA,"X","X","X",NA,NA,"Wikipedia","Les articles de Vikidia sont plutôt fiables","Je n'en ai jamais eu besoin",NA,"Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","X",NA,NA,NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","Absolument pas","Non",NA,"Parce que c’est la première fois que j’utilise vikidia","2021","Bon",NA,"Oui",NA,"Quels canaux de discussion ??","X",NA,NA,NA,NA,NA,NA,NA,"0","Élève au collège","2021",NA,"wikipedia"
"599",616,9606008,"21/09/2021 - 17:34","21/09/2021 - 17:34","21/09/2021 - 17:34",0,"0.0.0.0",0,"Anonymous","féminin","Entre 14 et 18 ans","Étudiant, élève","Collège",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,"Contribue une fois par mois ou moins","Pour moi se servir de Vikidia enrichi notre culture. Pour les leçons s’est assez pratique.",NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,"X","Très accessibles","X","X",NA,NA,NA,NA,NA,NA,"Sur Wikimini mais c’est rare.","Les informations trouvées sur Vikidia sont à prendre avec précaution","Il existe des pages d'aide ??",NA,"Plutôt bonne","Très bonne","Plutôt bonne","Plutôt bonne","Moyenne","Moyenne","X",NA,NA,NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","C’est extrêmement positif","Non",NA,"Je ne fais pas confiance aux trucs comme ça","1 mois","Moyen",NA,"Oui",NA,"Quels canaux de discussion ??",NA,NA,NA,"X",NA,NA,"Pas spécialement","Pas spécialement","1","Élève au collège",NA,NA,"sur wikimini mais c'est rare."
"600",617,9606144,"21/09/2021 - 17:44","21/09/2021 - 17:44","21/09/2021 - 17:44",0,"0.0.0.0",0,"Anonymous","masculin","Entre 19 et 25 ans","Étudiant, élève","Études supérieures",NA,"X",NA,NA,NA,NA,NA,"X",NA,"X",NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles","X",NA,NA,NA,NA,NA,NA,NA,"sur wikipedia","Les articles de Vikidia sont plutôt fiables","Je n'en ai jamais eu besoin",NA,"Plutôt bonne","Plutôt bonne","Plutôt bonne","Moyenne","Plutôt bonne","Très bonne",NA,"X",NA,NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","Tres bonnes","Non",NA,"Pas assez datgent","5 ans","Bon",NA,"Non","Pas assez dechanges","Quels canaux de discussion ??","X",NA,NA,NA,NA,NA,"Plus darticles simpllifies de wikipedia",NA,"0","Étudiant",NA,NA,"sur wikipedia"
"601",618,9607011,"21/09/2021 - 18:55","21/09/2021 - 18:55","21/09/2021 - 18:55",0,"0.0.0.0",0,"Anonymous","féminin","Entre 14 et 18 ans","Étudiant, élève","Lycée",NA,"X",NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pas du tout accessibles",NA,"X",NA,NA,NA,"X",NA,NA,"sur wikipedia","Les articles de Vikidia sont plutôt fiables","Il existe des pages d'aide ??",NA,"Moyenne","Plutôt bonne","Plutôt bonne","Plutôt mauvaise","Plutôt mauvaise","Très bonne",NA,"X",NA,NA,NA,"Vikidia devrait gagner en popularité",NA,"Oui","je ne sais pas","Non",NA,"je ne fais  pas confiance au page web","2019","Moyen",NA,"Non","je sais pas","Quels canaux de discussion ??","X","X",NA,NA,"X","skype et instagram",NA,NA,"0","Élève au lycée","2019",NA,"sur wikipedia"
"602",619,9607057,"21/09/2021 - 18:59","21/09/2021 - 18:59","21/09/2021 - 18:59",0,"0.0.0.0",0,"Anonymous","masculin","Entre 14 et 18 ans","Étudiant, élève","Collège",NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plutôt accessibles","X","X",NA,NA,NA,NA,NA,NA,"Wikipédia","Les articles de Vikidia sont plutôt fiables","Il existe des pages d'aide ??",NA,"Plutôt bonne","Plutôt bonne","Moyenne","Très bonne","Moyenne","Plutôt bonne","X",NA,NA,NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","Aucune des deux propositions","Non",NA,"Je ne souhaite pas faire de don","2018","Bon",NA,"Non","Je ne m'y sens pas intégré et je ne souhaite pas le devenir","Quels canaux de discussion ??","X",NA,NA,NA,NA,NA,NA,NA,"0","Élève au collège","2018",NA,"wikipedia"
"603",620,9607170,"21/09/2021 - 19:10","21/09/2021 - 19:10","21/09/2021 - 19:10",0,"0.0.0.0",0,"Anonymous","masculin","Entre 26 et 35 ans","En activité",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles","X",NA,NA,NA,NA,NA,NA,NA,"Wikipédia","Les articles de Vikidia sont plutôt fiables","Il existe des pages d'aide ??",NA,"Très bonne","Très bonne","Très bonne","Très bonne","Très bonne","Très bonne","X",NA,NA,NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","Elle m'apprend des choses.","Non",NA,"Pas envie.",NA,"Bon",NA,"Non","Je ne fais pas partie de la communauté.","Quels canaux de discussion ??","X",NA,NA,NA,NA,NA,NA,NA,"0","En activité",NA,NA,"wikipedia"
"604",622,9607509,"21/09/2021 - 19:49","21/09/2021 - 19:49","21/09/2021 - 19:49",0,"0.0.0.0",0,"Anonymous","masculin","Entre 8 et 13 ans","Étudiant, élève","École primaire (du CP au CM2)",NA,"X",NA,NA,"X",NA,NA,"X",NA,"X",NA,"X",NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plutôt accessibles","X","X",NA,NA,NA,NA,NA,NA,"Wikipedia","Les articles de Vikidia sont tout à fait fiables","Je n'en ai jamais eu besoin",NA,"Plutôt bonne","Très bonne","Plutôt bonne","Plutôt bonne","Très bonne","Très bonne",NA,"X",NA,NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","Bonne répercussion","Non",NA,"Je suis mineur","2021","Excellent",NA,"Oui",NA,"Quels canaux de discussion ??",NA,NA,NA,"X",NA,NA,NA,NA,"0","Élève en école primaire","2021",NA,"wikipedia"
"605",623,9608913,"21/09/2021 - 22:46","21/09/2021 - 22:46","21/09/2021 - 22:46",0,"0.0.0.0",0,"Anonymous","masculin","Entre 14 et 18 ans","Étudiant, élève","Collège",NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,NA,"X","Recherche","Consulte Vikidia pour la première fois",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moyennement accessibles",NA,NA,NA,NA,NA,"X",NA,NA,"Wikipédia","Les informations trouvées sur Vikidia ne sont pas toujours fiables","Elles sont trop complexes",NA,"Plutôt bonne","Moyenne","Plutôt bonne","Très bonne","Plutôt bonne","Plutôt bonne","X",NA,NA,NA,NA,"Vikidia est peu connue, et le grand public en est méfiant",NA,"Non","Oui. Positives","Non",NA,"?","today","Laisse à désirer","rien","Non","0 intégration...","Quels canaux de discussion ??",NA,NA,NA,NA,"X","Aucun canal de discussion","non","non","0","Élève au collège",NA,NA,"wikipedia"
"606",624,9608926,"21/09/2021 - 22:47","21/09/2021 - 22:47","21/09/2021 - 22:47",0,"0.0.0.0",0,"Anonymous","féminin","Entre 14 et 18 ans","Étudiant, élève","Lycée",NA,NA,NA,NA,"X",NA,NA,"X","X",NA,NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plutôt accessibles","X",NA,NA,NA,NA,NA,NA,NA,"Wikipédia","Les articles de Vikidia sont plutôt fiables","Il existe des pages d'aide ??",NA,"Moyenne","Plutôt bonne","Plutôt bonne","Moyenne","Plutôt bonne","Plutôt bonne","X",NA,NA,NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","plutôt positives","Non",NA,"je sais pas",NA,"Bon",NA,"Oui",NA,"Quels canaux de discussion ??","X",NA,NA,NA,NA,NA,NA,NA,"0","Élève au lycée",NA,NA,"wikipedia"
"607",625,9609026,"21/09/2021 - 23:03","21/09/2021 - 23:03","21/09/2021 - 23:03",0,"0.0.0.0",0,"Anonymous","masculin","Plus de 60 ans","Retraité",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,"Consulte Vikidia pour la première fois",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plutôt accessibles",NA,NA,NA,NA,NA,NA,"X","Sur proposition du système","Wikipedia","Les articles de Vikidia sont plutôt fiables","Je n'en ai jamais eu besoin",NA,"Plutôt bonne","Moyenne","Moyenne","Plutôt bonne","Moyenne","Plutôt bonne",NA,NA,NA,"X","Pas encore eu l'occasion","Personne ne connaît Vikidia en dehors de la communauté",NA,"Non","Ni les unes ni les autres","Non",NA,"Pas encore eu l'occasion","2021","Bon",NA,"Non","Qui établit le lien ?","Je les connais mais je n'y ai jamais participé",NA,NA,NA,NA,"X","Pas encore eu l'occasion",NA,NA,"0","Retraité","2021",NA,"wikipedia"
"608",626,9610163,"22/09/2021 - 08:44","22/09/2021 - 08:44","22/09/2021 - 08:44",0,"0.0.0.0",0,"Anonymous","féminin","Entre 14 et 18 ans","Étudiant, élève","Lycée",NA,NA,NA,"X",NA,NA,NA,"X","X",NA,NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plutôt accessibles","X","X","X",NA,NA,NA,NA,NA,"ailleurs","Les articles de Vikidia sont plutôt fiables","Il existe des pages d'aide ??",NA,"Plutôt bonne","Très bonne","Très mauvaise","Plutôt bonne","Plutôt bonne","Très bonne","X",NA,NA,NA,NA,"Autre","tout le monde connait mais personne en parle XD","Oui","pisitive kiss","Oui","j'adore merci",NA,"2004","Excellent",NA,"Oui",NA,"Quels canaux de discussion ??",NA,"X",NA,NA,NA,NA,"no < 3c'est un super site web je recommande","non","0","Élève au lycée","2004",NA,"ailleurs"
"609",627,9612473,"22/09/2021 - 10:59","22/09/2021 - 10:59","22/09/2021 - 10:59",0,"0.0.0.0",0,"Anonymous","masculin","Entre 14 et 18 ans","Étudiant, élève","Lycée",NA,"X",NA,"X","X",NA,NA,"X",NA,"X",NA,"X",NA,NA,"A contribué une ou deux fois",NA,NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X","Plutôt accessibles","X",NA,NA,NA,NA,NA,NA,NA,"Wikipedia","Les articles de Vikidia sont plutôt fiables","Il existe des pages d'aide ??",NA,"Plutôt bonne","Très bonne","Moyenne","Plutôt bonne","Très bonne","Très bonne",NA,"X","X",NA,NA,"Vikidia devrait gagner en popularité",NA,"Oui","Bonne","Non",NA,"Pour continuer à naviguer sans publicité","2019","Bon",NA,"Oui",NA,"J'ai déjà écrit un ou deux messages","X",NA,NA,NA,NA,NA,NA,NA,"1","Élève au lycée","2019",NA,"wikipedia"
"610",628,9613434,"22/09/2021 - 11:56","22/09/2021 - 11:56","22/09/2021 - 11:56",0,"0.0.0.0",0,"Anonymous","féminin","Entre 36 et 50 ans","En activité",NA,NA,NA,NA,"X",NA,NA,NA,"X",NA,"X",NA,"X",NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plutôt accessibles","X",NA,NA,NA,NA,NA,NA,NA,"Wikipédia","Les articles de Vikidia sont plutôt fiables","Elles sont suffisamment claires",NA,"Plutôt bonne","Plutôt bonne","Plutôt bonne","Moyenne","Plutôt bonne","Très bonne",NA,NA,"X",NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","Oui le savoir","Non",NA,"Pas d'argent",NA,"Bon",NA,"Oui",NA,"Je les connais mais je n'y ai jamais participé","X",NA,NA,"X",NA,NA,"Développer un peu plus",NA,"0","En activité",NA,NA,"wikipedia"
"611",629,9614160,"22/09/2021 - 12:41","22/09/2021 - 12:41","22/09/2021 - 12:41",0,"0.0.0.0",0,"Anonymous","féminin","Entre 8 et 13 ans","Étudiant, élève","Collège",NA,"X",NA,NA,NA,NA,NA,"X","X","X","X","X",NA,NA,"Consulte Vikidia mais n'y contribue pas","C'est parfait",NA,NA,"X","X",NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,"X","Très accessibles","X","X","X","X","X",NA,NA,NA,"Sur Vikidia","Les articles de Vikidia sont tout à fait fiables","Elles sont suffisamment claires",NA,"Très bonne","Très bonne","Très bonne","Très bonne","Très bonne","Très bonne","X",NA,NA,NA,NA,"Vikidia est de plus en plus connue et elle gagne en confiance",NA,"Non","De bonne répercussions","Non",NA,"Parce que j'ai 10ans","2020","Bon",NA,"Oui",NA,"Je les connais mais je n'y ai jamais participé",NA,NA,NA,NA,"X","Aucunes","Non","Non","0","Élève au collège","2020",NA,"sur vikidia"
"612",631,9615528,"22/09/2021 - 14:41","22/09/2021 - 14:41","22/09/2021 - 14:41",0,"0.0.0.0",0,"Anonymous","féminin","Entre 14 et 18 ans","Étudiant, élève","Collège",NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plutôt accessibles",NA,"X",NA,NA,NA,"X",NA,NA,"partout","Les articles de Vikidia sont plutôt fiables","Je n'en ai jamais eu besoin",NA,"Plutôt bonne","Moyenne","Plutôt bonne","Moyenne","Plutôt bonne","Plutôt bonne","X",NA,NA,NA,NA,"Autre","je m'en fiche","Non","pourquoi ca aurait des repercussions sur ma vie ?","Non",NA,"parce que","jamais","Moyen",NA,"Oui",NA,"Quels canaux de discussion ??","X",NA,NA,NA,NA,NA,NA,NA,"0","Élève au collège",NA,NA,"partout"
"613",632,9616351,"22/09/2021 - 15:41","22/09/2021 - 15:41","22/09/2021 - 15:41",0,"0.0.0.0",0,"Anonymous","préfère ne pas le dire","Préfère ne pas le dire","Étudiant, élève","Collège",NA,NA,"X",NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles","X",NA,NA,NA,NA,NA,NA,NA,"google","Je me méfie des informations que je trouve sur Vikidia","Il existe des pages d'aide ??",NA,"Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","X",NA,NA,NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","elle m'informe","Non",NA,"car je n'ai pas envie","2020","Excellent",NA,"Oui",NA,"Je les connais mais je n'y ai jamais participé",NA,NA,NA,"X",NA,NA,"de maitre une partie vocabulaire",NA,"0","Élève au collège","2020",NA,"google"
"614",633,9616390,"22/09/2021 - 15:44","22/09/2021 - 15:44","22/09/2021 - 15:44",0,"0.0.0.0",0,"Anonymous","féminin","Entre 8 et 13 ans","Étudiant, élève","Collège",NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plutôt accessibles","X",NA,NA,NA,NA,"X",NA,NA,"Wikipédia","Les informations trouvées sur Vikidia ne sont pas toujours fiables","Il existe des pages d'aide ??",NA,"Moyenne","Moyenne","Plutôt bonne","Très bonne","Plutôt mauvaise","Plutôt bonne","X",NA,NA,NA,NA,"Personne ne connaît Vikidia en dehors de la communauté",NA,"Oui","Ni l'un ni l autre","Non",NA,"Bah pourquoi pas","Je ne sais plus","Moyen",NA,"Oui",NA,"Quels canaux de discussion ??",NA,NA,NA,"X",NA,NA,NA,NA,"0","Élève au collège",NA,NA,"wikipedia"
"615",634,9616528,"22/09/2021 - 15:53","22/09/2021 - 15:53","22/09/2021 - 15:53",0,"0.0.0.0",0,"Anonymous","préfère ne pas le dire","Entre 14 et 18 ans","Étudiant, élève","Collège",NA,NA,NA,"X","X",NA,NA,"X",NA,NA,NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles","X",NA,NA,NA,NA,NA,NA,NA,"un site que le moteur de recherche me propose","Les articles de Vikidia sont plutôt fiables","Il existe des pages d'aide ??",NA,"Plutôt bonne","Très bonne","Plutôt bonne","Moyenne","Moyenne","Plutôt bonne",NA,"X",NA,NA,NA,"Vikidia est peu connue, et le grand public en est méfiant",NA,"Non","Aucune répercution sur ma vie","Non",NA,"J'ai autre chose à faire","2000","Bon",NA,"Oui",NA,"Quels canaux de discussion ??","X",NA,NA,NA,NA,NA,NA,NA,"0","Élève au collège","2000",NA,"un site que le moteur de recherche me propose"
"616",635,9616529,"22/09/2021 - 15:54","22/09/2021 - 15:54","22/09/2021 - 15:54",0,"0.0.0.0",0,"Anonymous","féminin","Entre 14 et 18 ans","Étudiant, élève","Lycée",NA,NA,NA,"X",NA,NA,NA,"X","X",NA,NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plutôt accessibles","X",NA,NA,NA,NA,NA,NA,NA,"Wikipedia","Les informations trouvées sur Vikidia ne sont pas toujours fiables","Il existe des pages d'aide ??",NA,"Plutôt bonne","Très bonne","Plutôt bonne","Très bonne","Plutôt bonne","Très bonne",NA,"X",NA,NA,NA,"Tout le monde connaît Vikidia !",NA,"Non","Tamere","Non",NA,"Pas d'argent","2018","Bon",NA,"Oui",NA,"Quels canaux de discussion ??",NA,"X",NA,NA,NA,NA,NA,NA,"0","Élève au lycée","2018",NA,"wikipedia"
"617",636,9616910,"22/09/2021 - 16:21","22/09/2021 - 16:21","22/09/2021 - 16:21",0,"0.0.0.0",0,"Anonymous","masculin","Entre 8 et 13 ans","Étudiant, élève","Collège",NA,NA,NA,NA,"X",NA,NA,"X",NA,NA,NA,NA,NA,NA,"A contribué une ou deux fois",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plutôt accessibles","X","X",NA,NA,NA,NA,NA,NA,"Wikipédia","Les articles de Vikidia sont plutôt fiables","Je n'en ai jamais eu besoin",NA,"Plutôt bonne","Très bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","Moyenne","X",NA,NA,NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","jj","Non",NA,"Je suis mineur","2021","Bon",NA,"Oui",NA,"Quels canaux de discussion ??",NA,NA,NA,NA,"X","jj",NA,NA,"1","Élève au collège","2021",NA,"wikipedia"
